รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
076174162813,"สิ่วด้ามยางแสตนเล่ย์ 7/8"" 16-281",อัน,80,4,1,0,0,0,3,551.1025,183.7008
076174162820,"สิ่วด้ามยางแสตนเล่ย์ 1"" 16-282",อัน,80,3,5,12,0,0,10,1710,171
076174304565,ตลับเมตร ST 8 เมตร.(โกลปอนเทป),อัน,80,11,21,24,0,0,14,2240,160
076174304862,ตลับเมตร ST 3 เมตร.(โกลปอนเทป),อัน,80,6,7,24,0,0,23,1748,76
076174304961,ตลับเมตร  ST 5 เมตร.(โกลปอนเทป),ตัว,89,48,20,0,0,0,28,2826.1891,100.9353
076174331585,ตลับเมตรเพาเวอร์ล๊อค 5 เมตร,อัน,80,2,13,24,0,0,13,2466.048,189.696
076174332315,ตลับเมตร ST 3 เมตร.# 33-231,ตัว,80,22,3,0,0,0,19,3040,160
076174589115,"เหล็กส่ง STANLEY 58-991 1/32""",แผง,80,4,0,0,0,0,4,183,45.75
077402,ดอกกุญแจ Dimple,ดอก,20,2,0,0,0,0,2,200,100
077559,ดอกกุญแจ Dimple,ดอก,20,2,0,0,0,0,2,200,100
078371009328,ชุดเซฟตี้ COMBO SET 10810/208512,ชุด,20,1,0,0,0,0,1,2550,2550
